word,topicid,topicval
approach,"[9, 7, 2, 19, 18, 1, 5, 0, 14, 4, 13, 15, 12, 11, 10, 8, 16, 6, 3, 17]","[0.99997686043871259, 2.3139482085112393e-05, 7.9196222885499533e-11, 1.1789489180858261e-16, 2.2356581729300698e-20, 1.0574819555426275e-29, 5.4135105526850418e-40, 2.4720319047666596e-47, 4.0730647748620399e-57, 5.7269856199984024e-72, 2.0426972301169378e-295, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
infin,"[18, 7, 0, 2, 4, 9, 5, 19, 1, 14, 13, 12, 11, 10, 8, 15, 6, 16, 3, 17]","[0.99999999724633426, 2.7440949783430278e-09, 9.5487029951514352e-12, 2.1692179422081938e-18, 1.7472949471749595e-19, 6.3016493093347815e-41, 5.5375365487854312e-72, 4.1090430431470903e-127, 1.7928519989242944e-132, 6.4726717021215587e-159, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
calcul,"[5, 9, 19, 1, 2, 7, 14, 18, 0, 4, 13, 6, 17, 3, 16, 15, 10, 11, 12, 8]","[1.0, 1.5700541224272667e-19, 5.5063607325569777e-24, 1.9505796273718459e-27, 1.0345980903330889e-28, 5.8995064896213069e-34, 6.8630409585698076e-38, 5.7928358370300203e-56, 8.0924994603277996e-102, 2.0042481021087695e-208, 1.4839751288425371e-235, 8.8860687518489948e-257, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
sum,"[9, 2, 7, 19, 1, 5, 18, 14, 0, 4, 13, 6, 15, 12, 11, 10, 8, 16, 3, 17]","[0.99999999999516831, 4.8406089713401141e-12, 7.2945660882737026e-18, 4.4887638187278036e-22, 2.5952812013316688e-27, 6.9721713539461385e-45, 5.030070442265752e-51, 9.4144565018951418e-53, 3.2464131139063539e-103, 1.5724316466818114e-147, 1.5817604426566589e-239, 2.9346895951235921e-303, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
seri,"[19, 9, 1, 7, 5, 2, 14, 18, 0, 13, 4, 6, 3, 17, 16, 10, 11, 12, 15, 8]","[1.0, 2.0876402264161067e-14, 2.4089834737961111e-17, 6.770967289246418e-21, 5.0933547788773282e-23, 1.6116934230555527e-24, 2.1000837744419817e-26, 2.3288453287784079e-46, 4.8092645089855502e-119, 3.8468520488181049e-170, 5.7039904343929728e-174, 1.7763790668275799e-238, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
0,"[8, 1, 14, 19, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 15, 16, 17, 0]","[1.0, 1.7117472210910195e-133, 6.2036375739179907e-142, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
frac,"[7, 2, 0, 9, 18, 19, 5, 1, 14, 4, 15, 13, 12, 11, 10, 8, 16, 6, 3, 17]","[1.0, 9.035792409665681e-34, 1.3826176531471103e-35, 5.0093160584896825e-66, 1.2059586344330898e-68, 8.7893977451796463e-117, 2.9936344437877546e-148, 7.4706827639609028e-175, 5.9654274300957922e-181, 3.4244156454572621e-181, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
cdot,"[7, 2, 0, 9, 18, 19, 1, 5, 14, 4, 15, 13, 12, 11, 10, 8, 16, 6, 3, 17]","[1.0, 4.1515830656689231e-44, 2.9609996071285927e-46, 1.795390792302523e-54, 5.3214414342095036e-75, 3.1391198539923821e-137, 8.5269434084141261e-157, 4.3012090272918057e-171, 2.3420448462966256e-177, 1.4870517352489156e-207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[8, 14, 1, 19, 2, 3, 4, 5, 6, 7, 9, 18, 10, 11, 12, 13, 15, 16, 17, 0]","[1.0, 1.6399018092861748e-272, 2.3517420656245595e-313, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
euler,"[9, 2, 7, 1, 19, 18, 5, 14, 0, 4, 13, 12, 11, 10, 8, 15, 6, 3, 16, 17]","[0.99999999999988631, 8.9377963436943808e-14, 2.8370433798230457e-19, 4.6975360905988507e-33, 1.6054854283835002e-34, 1.4462253480787547e-34, 1.5078992202568771e-45, 6.6655725101915986e-62, 6.7456720327976407e-66, 8.1537917985564059e-111, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
